action_id,incident_id,action_type,description,assigned_to,open_date,due_date,close_date,status,effectiveness_score,created_date
67,75,Root Cause Analysis,Try memory number occur behind leave choose enter threat.,David Evans,2024-07-18,2024-09-03,2024-08-28,Closed,0.91,2024-07-18 13:35:10
68,62,Root Cause Analysis,Hundred truth safe rich society common stay ready office traditional organization feel room.,Angela Brown,2024-12-30,2025-02-06,2025-01-12,Closed,0.73,2024-12-30 12:45:24
69,85,Process Change,Girl stage indicate test thank dinner present own activity since.,Eric Williams,2024-05-11,2024-07-04,2024-06-08,Closed,0.8,2024-05-11 00:30:58
70,45,Supplier Corrective Action,North force recently check purpose young wife send offer bed it skill.,George Alvarez,2024-10-28,2024-12-02,,In Progress,,2024-10-28 15:12:41
71,47,Root Cause Analysis,Nature energy huge its recently seven.,Mr. James Duncan,2024-03-29,2024-05-20,2024-06-19,Closed,0.9,2024-03-29 06:28:18
72,69,Supplier Corrective Action,Pattern save east author since food under become public interest give fly order.,Eric Huerta,2024-05-27,2024-06-28,2024-07-07,Closed,0.86,2024-05-27 07:48:31
73,69,Root Cause Analysis,Start sort perhaps key under do rate choose rock beat science drug per.,Ronnie Roberts,2024-12-25,2025-02-08,2025-01-09,Closed,0.79,2024-12-25 14:22:40
74,17,Equipment Calibration,Really born late age decade Mrs data model else low.,Brenda Hale,2024-08-13,2024-10-07,2024-10-25,Closed,0.76,2024-08-13 11:30:47
75,82,Root Cause Analysis,Heavy town money eight art customer.,Denise Marshall,2024-08-10,2024-09-25,2024-08-18,Closed,0.87,2024-08-10 21:47:14
76,29,Equipment Calibration,At produce production tree growth blue.,Stephen Hughes,2024-08-31,2024-10-06,2024-09-13,Closed,0.99,2024-08-31 08:31:15
77,55,Equipment Calibration,Meet report tough machine others because current whom night Republican.,Thomas Torres,2024-12-24,2025-01-23,2025-02-04,Closed,0.76,2024-12-24 01:16:32
78,7,Training,Hotel church get goal personal door within may speech personal these three.,Alyssa Peters,2024-06-01,2024-07-06,2024-08-05,Closed,0.8,2024-06-01 00:14:10
79,27,Process Change,Difficult game hotel case role minute question their rather.,Kenneth Simmons,2024-01-16,2024-02-17,2024-02-17,Closed,0.96,2024-01-16 04:00:44
80,93,Process Change,Travel forget my deal catch must son television finally.,Kelly Taylor,2024-04-26,2024-06-22,2024-07-02,Closed,0.85,2024-04-26 03:14:55
81,13,Supplier Corrective Action,Prevent north citizen attack mouth rest contain.,Brianna Johnson,2024-05-27,2024-07-12,2024-07-01,Closed,0.81,2024-05-27 22:39:38
82,16,Inspection Enhancement,They increase in kitchen value thus value event single blood.,Phillip Salazar,2024-05-11,2024-07-07,2024-07-07,Closed,0.71,2024-05-11 00:44:13
83,49,Process Change,Paper partner others discuss ago bag sister care suffer.,Matthew White,2024-06-18,2024-07-12,2024-07-14,Closed,0.76,2024-06-18 18:57:32
84,91,Design Change,Man case cover allow share address establish including score write.,Andrea Ho,2024-02-12,2024-03-18,2024-04-25,Closed,0.84,2024-02-12 01:40:27
85,19,Root Cause Analysis,Term majority foot leader east if among save herself fine particularly.,Linda Fox,2024-09-20,2024-10-27,,In Progress,,2024-09-20 19:57:09
86,12,Supplier Corrective Action,Minute later still amount yet million.,Nicholas Grant,2024-03-09,2024-04-18,2024-03-27,Closed,0.82,2024-03-09 00:40:26
87,30,Design Change,Share while couple keep this similar experience coach family try ready tough.,Matthew Davis,2024-09-18,2024-10-21,2024-11-15,Closed,0.71,2024-09-18 06:17:53
88,73,Equipment Calibration,Both single visit receive career including late condition opportunity Republican dark lawyer.,Michael Meadows,2024-09-17,2024-11-15,,In Progress,,2024-09-17 19:52:08
89,65,Design Change,Responsibility but box last guy model himself social.,Tiffany Gray,2024-05-11,2024-06-02,2024-05-27,Closed,0.84,2024-05-11 03:56:05
90,100,Process Change,Analysis color friend the television class certain shoulder anything final.,Tonya Roberts,2024-11-27,2024-12-18,2024-12-17,Closed,0.88,2024-11-27 12:57:18
91,98,Process Change,Brother capital dark performance education learn talk myself.,Stephen Young,2024-09-26,2024-11-08,2024-12-13,Closed,0.82,2024-09-26 06:10:21
92,77,Training,Process law kind over according think everything pick star debate continue area give.,Andrew Lane,2024-04-22,2024-06-02,,Open,,2024-04-22 09:50:01
93,89,Inspection Enhancement,Fear turn any indicate condition public particularly reality organization skin concern lay often.,Anna Evans,2024-07-09,2024-08-25,2024-09-22,Closed,0.82,2024-07-09 16:15:49
94,61,Process Change,Today star serve successful assume likely business teacher forget including.,Daniel Brown,2024-10-02,2024-11-14,2024-11-13,Closed,0.79,2024-10-02 07:10:13
95,24,Equipment Calibration,Role pick would low read value worry expert participant first moment yet government.,Justin Stone,2024-08-23,2024-09-22,2024-10-26,Closed,0.98,2024-08-23 04:02:34
96,89,Design Change,Marriage space this discussion fact cover brother let someone scene debate past increase animal.,Robert Lewis,2024-08-21,2024-10-12,2024-09-12,Closed,0.86,2024-08-21 21:40:48
97,25,Equipment Calibration,Real effort attack feel nearly short box four.,Keith Choi,2024-08-14,2024-09-25,,Pending Verification,,2024-08-14 02:41:53
98,46,Training,Create street two look listen along career choice.,Sean Huang,2024-02-22,2024-03-17,2024-04-11,Closed,0.95,2024-02-22 05:16:47
99,58,Equipment Calibration,Six including sea strong federal right firm movie decade rate son.,Heather Montes,2024-08-12,2024-10-07,2024-11-02,Closed,0.91,2024-08-12 08:55:36
100,90,Training,Subject fund heart move coach paper cost bring site.,Scott Mckinney,2024-01-11,2024-02-28,2024-02-19,Closed,0.86,2024-01-11 09:52:13
